sl_no,paper_id,title,Author(s),venue,year,abstract,keywords,source,url,retrieved_at,seed_query,region,notes
1,260298939,Artificial intelligence as relational artifacts in creative learning,"Jeongki Lim, Teemu Leinonen, Lasse Lipponen, Henry Lee, Julienne DeVita, Dakota Murray","Digital Creativity, http://www.tandfonline.com/loi/ndcr20",2023,"Artificial Intelligence (AI) has significantly advanced in creating professional-level media content. In creative education, determining how students can benefit without becoming dependent on them is a challenge. In this study, researchers conducted an exploratory experiment that positioned AI as a relational artifact to students in a series of drawing activities and examined the potential impact of affective relations with machines in socio-cultural creative learning. The resulting artifacts, observations, and interview transcripts were analyzed using the Consensual Assessment Technique and a grounded theory approach. The study's results indicate that the design professors reliably evaluated the student drawings as more creative than the AI drawings, but neither demonstrated a consistent increase in creativity. However, the presence of AI engaged the students to explore different approaches to artistic prompts. We theorize that AI can be mediated as a learning artifact for transformative creativity if the students perceive their relationship with AI as empathetic and collaborative.","Relational artifact, Creative learning, Computational creativity, Sociocultural creativity, Artificial intelligence",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/14626268.2023.2236595 ,10/25/2025,Creative Learning,Finland,
2,259534461,An Empirical Study on the Creative Learning Environment Fostering Student Creativity: A Multiple Mediation Analysis Using Smart PLS 4,"Wenqing Wang,  F. H. Tie, Chundong Shi",Journal of Education and Social Research,2023,"Creativity should be seen as a critical skill for students in the twenty-first century and a stated objective of formal education that supports students in navigating an ambiguous future. There is evidence that a creative learning environment would encourage students to be more creative in the classroom, but research is lacking to support this. This study examines whether a creative learning environment will encourage students to be more creative in three ways: learning goal orientation, network links, and knowledge sharing, based on Amabile's componential theory of creativity. A total of 388 Chinese university students participated in the surveys. The collected data were analysed by SmartPLS 4, the approach of multiple mediation analysis. The results demonstrate that a creative learning environment makes students more focused on learning goals and more willing to share information, significantly positively affecting student creativity. However, network ties do not play a role in the link between a creative learning environment and student creativity. In the end, this study discusses the theoretical and educational implications of the results, the drawbacks of the study, and recommendations for future studies.","Learning Goal Orientation, Knowledge Sharing, Network Ties, Creative Learning Environment, Student Creativity",Semantic Scholar,https://www.semanticscholar.org/paper/An-Empirical-Study-on-the-Creative-Learning-Student-Wang-Tie/ca209110e95f5c94408e8094de7287e24b9dd429 ,10/25/2025,Creative Learning,Malaysia,
3,247585075,Leveraging Generative Conversational AI to Develop a Creative Learning Environment for Computational Thinking,"Sangho Suh,  Pengcheng An",IUI '22 Companion: Companion Proceedings of the 27th International Conference on Intelligent User Interfaces,2022,"We explore how generative conversational AI can assist students’ learning, creative, and sensemaking process in a visual programming environment where users can create comics from code. The process of visualizing code in terms of comics involves mapping programming language (code) to natural language (story) and then to visual language (of comics). While this process requires users to brainstorm code examples, metaphors, and story ideas, the recent development in generative models introduces an exciting opportunity for learners to harness their creative superpower and researchers to advance our understanding of how generative conversational AI can augment our intelligence in creative learning contexts. We provide an overview of our system and discuss interaction scenarios to demonstrate ways we can partner with generative conversational AI in the context of learning computer programming.","Applied computing, Interactive learning environments",Semantic Scholar,https://dl.acm.org/doi/10.1145/3490100.3516473 ,10/25/2025,Creative Learning,Canada,
4,238037709,Creative Learning in Education,R. Beghetto,The Palgrave Handbook of Positive Education,2021,"Creative learning in schools represents a specific form of learning that involves creative expression in the context of academic learning. Opportunities for students to engage in creative learning can range from smaller scale curricular experiences that benefit their own and others’ learning to larger scale initiatives that can make positive and lasting contributions to the learning and lives of people in and beyond the walls of classrooms and schools. In this way, efforts aimed at supporting creative learning represent an important form of positive education. The purpose of this chapter is to introduce and discuss the co-constitutive factors involved in creative learning. The chapter opens by clarifying the nature of creative learning and then discusses interrelated roles played by students, teachers, academic subject matter, uncertainty, and context in creative learning. The chapter closes by outlining future directions for research on creative learning and positive education.","Creative Learning, Education",Semantic Scholar,https://link.springer.com/chapter/10.1007/978-3-030-64537-3_19 ,10/25/2025,Creative Learning,United States,
5,245873629,The Implementation of Artificial Intelligence in STEM-Based Creative Learning in the Society 5.0 Era,"Junia Melya Sari, Edi Purwanta",Tadris: Jurnal Keguruan dan Ilmu Tarbiyah,2021,"This research aimed at utilizing artificial intelligence in STEM-based creative learning in the society 5.0 era. The researchers investigated how an educator can utilize artificial intelligence and optimize it into a STEM-based learning process. STEM stands for Science, Technology, Engineering, and Math. The United States initiated it to combine the four disciplines integrated into a problem-based learning method and everyday contextual events. Artificial intelligence is an intelligence added to a system managed in a scientific context. Artificial intelligence is created and put into a machine (computer) to do work like humans. Several fields that use artificial intelligence include expert systems, computer games (games), fuzzy logic, artificial neural networks, and robotics. The researchers employed the literature review or library research by reviewing the results of various studies and collecting data from assorted references and sources. In conclusion, implementing artificial intelligence in STEM-based creative learning can be an alternative for an educator in the learning process. Artificial intelligence (AI) is expected to help educators in the creative learning process by implementing long-life education and showing behavioral changes in a better direction cognitively, affectively, and psychometrically, especially in the era of society 5.0.","Artificial intelligence, Creative learning, Society 5.0, STEM",Semantic Scholar,https://www.semanticscholar.org/reader/d9a34ce248ded179ac52592830449cc58881a81b,10/25/2025,Creative Learning,Indonesia,
6,267179312,Using Generative Artificial Intelligence Tools to Explain and Enhance Experiential Learning for Authentic Assessment,"D. Salinas-Navarro, E. Vilalta-Perdomo, L. Montesino", Education Sciences,2024,"The emergence of generative artificial intelligence (GenAI) requires innovative educational environments to leverage this technology effectively to address concerns like academic integrity, plagiarism, and others. Additionally, higher education needs effective pedagogies to achieve intended learning outcomes. This emphasizes the need to redesign active learning experiences in the GenAI era. Authentic assessment and experiential learning are two possible meaningful alternatives in this context. Accordingly, this article investigates how GenAI can enhance teaching and learning by constructively addressing study situations beyond conventional learning approaches and cultivating high-order skills and knowledge acquisition. This study employs thing ethnography to examine GenAI tools’ integration with authentic assessment and experiential learning and explore implementation alternatives. The results reveal insights into creating human-centered and GenAI-enhanced learning experiences within a constructive alignment. Specific examples are also provided to guide their implementation. Our contributions extend beyond the traditional use of GenAI tools as mere agents-to-write or agents-to-answer questions to become agents-to-support experiential learning for authentic assessment. These findings underscore the transformative role of GenAI tools in enhancing teaching and learning efficacy and effectiveness. The limitations in treating GenAI tools as subjects in thing ethnography are acknowledged, with potential for future implementation evaluation.","experiential learning, authentic assessment, constructive alignment, generative artificial intelligence, educational innovation, higher education",Semantic Scholar,https://www.semanticscholar.org/reader/b71fb682b835500ba19e654584a05c4bb6e65c10 ,10/26/2026,Experiential Learning,Mexico,
7,271236623,Integrating feedback mechanisms and ChatGPT for VR-based experiential learning: impacts on reflective thinking and AIoT physical hands-on tasks,"Wei-Sheng Wang, Chia-Ju Lin, Ting‐Ting Wu",Ting‐Ting Wu,2024,"This study investigates the application of Virtual Reality (VR) in the educational field, particularly its integration with GAI technologies such as ChatGPT to enhance the learning experience. The research indicates that while VR provides an immersive learning environment fostering student interaction and interest, the lack of a structured learning framework and personalized feedback may limit its educational effectiveness and potentially affect the transfer of VR-learned knowledge to physical hands-on tasks. Hence, it calls for the provision of more targeted and personalized feedback in VR learning environments. Through a randomized controlled trial (RCT), this study collected data from 77 university students, integrating experiential learning in VR for acquiring AIoT knowledge and practical skills, and compared the effects of traditional feedback versus GPT feedback on promoting reflective thinking, learning motivation, cognitive levels, and AIoT hands-on abilities among the students. The results show that the group receiving GPT feedback significantly outperformed the control group across these learning indicators, demonstrating the effectiveness of GAI technologies in providing personalized learning support, facilitating deep learning, and enhancing educational outcomes. This study offers new insights into the integration of GAI technology in VR learning environments, paving new pathways for the development and application of future educational technologies.","Virtual reality, Reflective thinking, Feedback mechanisms, Generative artificial intelligence, Physical hands-on tasks, AIoT",Semantic Scholar,https://www.tandfonline.com/doi/full/10.1080/10494820.2024.2375644 ,10/26/2025,Experiential Learning,Taiwan,
8,269533960,Designing experiential learning activities with generative artificial intelligence tools for authentic assessment,"D. Salinas-Navarro, E. Vilalta-Perdomo, Luis Montesinos",Interactive Technology and Smart Education,2024,"Purpose This article investigates the application of generative artificial intelligence (GenAI) in experiential learning for authentic assessment in higher education. Recognized for its human-like content generation, GenAI has garnered widespread interest, raising concerns regarding its reliability, ethical considerations and overall impact. The purpose of this study is to explore the transformative capabilities and limitations of GenAI for experiential learning. Design/methodology/approach The study uses “thing ethnography” and “incremental prompting” to delve into the perspectives of ChatGPT 3.5, a prominent GenAI model. Through semi-structured interviews, the research prompts ChatGPT 3.5 on critical aspects such as conceptual clarity, integration of GenAI in educational settings and practical applications within the context of authentic assessment. The design examines GenAI’s potential contributions to reflective thinking, hands-on learning and genuine assessments, emphasizing the importance of responsible use. Findings The findings underscore GenAI’s potential to enhance experiential learning in higher education. Specifically, the research highlights GenAI’s capacity to contribute to reflective thinking, hands-on learning experiences and the facilitation of genuine assessments. Notably, the study emphasizes the significance of responsible use in harnessing the capabilities of GenAI for educational purposes. Originality/value This research showcases the application of GenAI in operations management education, specifically within lean health care. The study offers insights into its capabilities by exploring the practical implications of GenAI in a specific educational domain through thing ethnography and incremental prompting. Additionally, the article proposes future research directions, contributing to the originality of the work and opening avenues for further exploration in the integration of GenAI in education.","Authentic assessment, ChatGPT, Experiential learning, GenAI, Higher education, Lean healthcare, Operations management",Semantic Scholar,https://www.emerald.com/itse/article-abstract/21/4/708/1227557/Designing-experiential-learning-activities-with?redirectedFrom=fulltext ,10/26/2025,Experiential Learning,United Kingdom,
9,269619732,"Designing our Thinking: Examining the Effects of Experiential Learning and Design Thinking on Creativity, Innovation, and Collaboration Skills Development in the Undergraduate Classroom",AnneMarie Dorland,Canadian Journal for the Scholarship of Teaching and Learning,2024,"This paper shares initial findings from a study of the way that design thinking and experiential learning informed approaches to teaching can help programs and institutions in the higher education community meet the teaching and learning objectives identified by the World Economic Forum (WEF) as critical for our global future. The project surveyed undergraduate students in a large first year introductory course to learn more about how design thinking based learning practices might serve to extend an experiential learning pedagogical approach toward the successful development of innovation, creativity, interpersonal, self-paced, problem-based and lifelong learning skills. Results from the survey of 600 students reveal that using a design thinking model of learning as part of an experiential learning curriculum may be an effective way to enhance the development of the identified skills and approaches within an experiential learning framework. Students who experienced the addition of design thinking based learning practices to an experiential learning framework reported higher levels of confidence in their innovation and creativity skills and were more likely to seek opportunities for collaboration and self-paced learning than those who participated in an experiential learning focused section of the same class. This article provides an illustration of the impact of using design thinking as an extension of experiential learning in an undergraduate higher education class and offers recommendations for institutions and professional programs seeking to meet World Economic Forum Education 4.0 Initiative goals.","design thinking, experiential learning, teaching, skill development, creativity, innovation",Semantic Scholar,https://ojs.lib.uwo.ca/index.php/cjsotl_rcacea/article/view/14235 ,10/26/2025,Experiential Learning,Canada,
10,63169390,Experiential Learning Model in Science Learning: Systematic Literature Review,"E. Susiloningsih, M. Sumantri, Arita Marini",Jurnal Penelitian Pendidikan IPA,2023,"This study aims to determine and describe the effect of the experiential learning model on science learning in elementary schools, namely by looking at the achievement of science learning objectives. The method used in this study is the Systematic Literature Review method. The search results found 244 articles from 2011 to 2023, and then were gradually and systematically selected into 15 articles that were relevant to the topic of experiential learning models in elementary school learning science and true/matching criteria. The results of this study indicate that there is an influence of the experiential learning model on science learning in elementary schools, as evidenced by the 15 articles studied being able to answer research questions, namely: How is the achievement of science learning objectives in elementary schools based on the results of a review of research articles on the experiential learning model?, and Does experiential learning affect the achievement of the goals of learning science in elementary schools? The results and findings in these articles indicate an increase in the achievement of science learning objectives after the implementation of this experiential learning model, namely: increasing students' curiosity and learning achievement, increasing students' motivation, Increasing students' understanding of students, improving the quality of learning, increasing the competence of students, and making learning fun.","Experiential learning, Science, Systematic literature review",Semantic Scholar,https://www.semanticscholar.org/reader/8ddcd2b96a128966243755562cb27891da11416f ,10/26/2025,Experiential Learning,Indonesia,
